climate,policy,metric,country,delta_median,delta_lo,delta_hi,cost_median,per_dollar_median,per_dollar_lo,per_dollar_hi,share_finite
ssp585,transfer,ce_rho2.5,Malawi,2.3348388671875,2.328153610229492,2.341766357421875,1.9123499393463135,1.220926577896932,1.2174307444093158,1.224549079245583,1.0
ssp585,transfer,ce_rho2.5,Mali,13.739253997802734,13.624336242675781,13.875213623046875,12.995691299438477,1.0572160942601327,1.0483733361121363,1.0676779944477752,1.0
ssp585,transfer,ce_rho2.5,Nigeria,12.742477416992188,12.718803405761719,12.770748138427734,10.273679733276367,1.2403031579541461,1.2379988218403981,1.2430549199488263,1.0
ssp585,transfer,ce_rho2.5,Tanzania,3.296006202697754,3.28826904296875,3.3048763275146484,2.602651596069336,1.2664031588690392,1.2634303599970393,1.2698112695936137,1.0
ssp585,transfer,ce_rho2.5,Uganda,3.3276538848876953,3.323884963989258,3.330622673034668,2.545980930328369,1.3070223131869687,1.3055419718169523,1.3081883816801012,1.0
ssp585,contraction,exp_income,Ethiopia,-16.470712661743164,-16.563255310058594,-16.368206024169922,0.0,,,,1.0
ssp585,contraction,exp_income,Malawi,-13.167659759521484,-13.312183380126953,-13.011199951171875,0.0,,,,1.0
ssp585,contraction,exp_income,Mali,-19.49687957763672,-19.607192993164062,-19.380584716796875,0.0,,,,1.0
ssp585,contraction,exp_income,Nigeria,-43.34477996826172,-43.74395751953125,-42.997222900390625,0.0,,,,1.0
ssp585,contraction,exp_income,Tanzania,-24.47286033630371,-24.64984130859375,-24.30373764038086,0.0,,,,1.0
ssp585,contraction,exp_income,Uganda,-11.621129989624023,-11.686885833740234,-11.563018798828125,0.0,,,,1.0
ssp585,contraction,p_below_theta,Ethiopia,-0.06190670281648636,-0.062196314334869385,-0.06157425045967102,0.0,,,,1.0
ssp585,contraction,p_below_theta,Malawi,-0.13220905885100365,-0.13242684304714203,-0.1318848878145218,0.0,,,,1.0
ssp585,contraction,p_below_theta,Mali,-0.06141718477010727,-0.06171150505542755,-0.06110309064388275,0.0,,,,1.0
ssp585,contraction,p_below_theta,Nigeria,-0.07765667885541916,-0.0778559148311615,-0.07744774222373962,0.0,,,,1.0
ssp585,contraction,p_below_theta,Tanzania,-0.16508915275335312,-0.16525302454829216,-0.16487699374556541,0.0,,,,1.0
ssp585,contraction,p_below_theta,Uganda,-0.05095718801021576,-0.05106595158576965,-0.05085435509681702,0.0,,,,1.0
ssp585,contraction,switch_share,Ethiopia,0.12736117094755173,0.12514960765838623,0.12961441278457642,0.0,,,,1.0
ssp585,contraction,switch_share,Malawi,0.045017560943961143,0.04152432829141617,0.04802120849490166,0.0,,,,1.0
ssp585,contraction,switch_share,Mali,0.02169855870306492,0.019908223301172256,0.024239230901002884,0.0,,,,1.0
ssp585,contraction,switch_share,Nigeria,0.1129932664334774,0.10987188667058945,0.11702582240104675,0.0,,,,1.0
ssp585,contraction,switch_share,Tanzania,0.15445198863744736,0.1500862091779709,0.1603921353816986,0.0,,,,1.0
ssp585,contraction,switch_share,Uganda,0.12627623230218887,0.12392302602529526,0.129182368516922,0.0,,,,1.0
ssp585,contraction,cv_log,Ethiopia,1.1570181846618652,1.0561076998710632,1.223327100276947,0.0,,,,1.0
ssp585,contraction,cv_log,Mali,1.0892362892627716,1.0071470737457275,1.1756640076637268,0.0,,,,1.0
ssp585,contraction,cv_log,Nigeria,0.7262333109974861,0.6898020654916763,0.7641666978597641,0.0,,,,1.0
ssp585,contraction,cv_log,Tanzania,60.22550678253174,8.691038727760315,224.36456680297852,0.0,,,,1.0
ssp585,contraction,cv_log,Uganda,1.3248153030872345,1.2254314869642258,1.4030769616365433,0.0,,,,1.0
ssp585,contraction,cv_pct,Ethiopia,2.1804356513609013,1.8751582030150993,2.3984760150770588,0.0,,,,1.0
ssp585,contraction,cv_pct,Mali,1.9720034764427263,1.7344732681694546,2.236675872315098,0.0,,,,1.0
ssp585,contraction,cv_pct,Nigeria,1.0672793948016435,0.9933209471916589,1.1472043589590015,0.0,,,,1.0
ssp585,contraction,cv_pct,Tanzania,1.4308867610253032e+26,5948.358798414823,2.7560893768884883e+97,0.0,,,,1.0
ssp585,contraction,cv_pct,Uganda,2.761490573138416,2.4056352530207095,3.067696877969479,0.0,,,,1.0
ssp585,contraction,ce_rho2.5,Ethiopia,14.463130950927734,14.403470993041992,14.529556274414062,0.0,,,,1.0
ssp585,contraction,ce_rho2.5,Malawi,13.106171131134033,13.047327995300293,13.158527374267578,0.0,,,,1.0
ssp585,contraction,ce_rho2.5,Mali,40.736148834228516,40.45549774169922,40.94535827636719,0.0,,,,1.0
ssp585,contraction,ce_rho2.5,Nigeria,43.40449523925781,43.30093002319336,43.49446105957031,0.0,,,,1.0
ssp585,contraction,ce_rho2.5,Tanzania,17.559343814849854,17.48592185974121,17.646668434143066,0.0,,,,1.0
ssp585,contraction,ce_rho2.5,Uganda,12.392000675201416,12.37454605102539,12.411645889282227,0.0,,,,1.0
ssp585,safety_net,exp_income,Ethiopia,-3.337848663330078,-3.4490280151367188,-3.265758514404297,1.9400118589401245,-1.7205300307564233,-1.7778386246674833,-1.683370387327663,1.0
ssp585,safety_net,exp_income,Malawi,-0.7307033538818359,-0.9041404724121094,-0.5917816162109375,1.392106294631958,-0.5248904891095387,-0.6494766067063464,-0.4250980104700923,1.0
ssp585,safety_net,exp_income,Mali,1.3214035034179688,0.850250244140625,1.72222900390625,8.808526039123535,0.15001414510769284,0.09652582513398876,0.1955184098062353,1.0
ssp585,safety_net,exp_income,Nigeria,-6.524749755859375,-6.838134765625,-6.1241302490234375,8.409066200256348,-0.7759184671016706,-0.8131859831733209,-0.7282770884639659,1.0
ssp585,safety_net,exp_income,Tanzania,-1.7592544555664062,-1.9443588256835938,-1.5897369384765625,1.578903317451477,-1.1142255742460758,-1.2314616127490325,-1.0068614847440893,1.0
ssp585,safety_net,exp_income,Uganda,1.8254146575927734,1.7939605712890625,1.852020263671875,3.647430658340454,0.5004658973896216,0.4918422690742248,0.5077602392349596,1.0
ssp585,safety_net,p_below_theta,Ethiopia,-0.2704509198665619,-0.27092230319976807,-0.2698820233345032,1.9400118589401245,-0.13940683847897495,-0.13964981809326643,-0.13911359463645045,1.0
ssp585,safety_net,p_below_theta,Malawi,-0.22835488617420197,-0.22891268134117126,-0.22786279022693634,1.392106294631958,-0.1640355244816804,-0.16443620880379015,-0.16368203427108144,1.0
ssp585,safety_net,p_below_theta,Mali,-0.27551238238811493,-0.27668043971061707,-0.27460217475891113,8.808526039123535,-0.031277921091952515,-0.03141052640154848,-0.031174588522444167,1.0
ssp585,safety_net,p_below_theta,Nigeria,-0.2664474844932556,-0.26687926054000854,-0.2660117447376251,8.409066200256348,-0.0316857399083305,-0.03173708639989929,-0.03163392205540204,1.0
ssp585,safety_net,p_below_theta,Tanzania,-0.22486673295497894,-0.22532016038894653,-0.22443346679210663,1.578903317451477,-0.14241957089427015,-0.1427067496144336,-0.14214516133537983,1.0
ssp585,safety_net,p_below_theta,Uganda,-0.3369513303041458,-0.3371122181415558,-0.33677881956100464,3.647430658340454,-0.09238046226695244,-0.0924245721767713,-0.09233316575625752,1.0
ssp585,safety_net,switch_share,Ethiopia,0.15328465402126312,0.15153376758098602,0.1557968407869339,1.9400118589401245,0.07901222526804874,0.07810971200133415,0.08030715898409481,1.0
ssp585,safety_net,switch_share,Malawi,0.08119779825210571,0.07527334988117218,0.08699271082878113,1.392106294631958,0.058327297682087276,0.054071553423348885,0.062489991722780094,1.0
