climate,policy,country,metric,median,hpdi_lo,hpdi_hi,n_draws,share_finite
baseline,insurance,Ethiopia,exp_income,62.69841384887695,62.49126052856445,62.900856018066406,200.0,1.0
baseline,insurance,Ethiopia,exp_median,49.202653884887695,48.99723434448242,49.388668060302734,200.0,1.0
baseline,insurance,Ethiopia,exp_shortfall,0.05000925250351429,0.04974335804581642,0.050276827067136765,200.0,1.0
baseline,insurance,Ethiopia,logsum,1.8628031611442566,1.7931331396102905,1.9409886598587036,200.0,1.0
baseline,insurance,Ethiopia,p_below_theta,0.1793205738067627,0.17859993875026703,0.1800343096256256,200.0,1.0
baseline,insurance,Ethiopia,payout,1.3580083847045898,1.3580083847045898,1.3580083847045898,200.0,1.0
baseline,insurance,Ethiopia,premium,1.6296101808547974,1.6296101808547974,1.6296101808547974,200.0,1.0
baseline,insurance,Ethiopia,switch_share,0.10244308784604073,0.10108161717653275,0.10415740311145782,200.0,1.0
baseline,insurance,Malawi,ce_rho1.5,35.245975494384766,34.99642562866211,35.53451156616211,200.0,1.0
baseline,insurance,Malawi,ce_rho2.5,25.580158233642578,25.327869415283203,25.83969497680664,200.0,1.0
baseline,insurance,Malawi,ce_rho3.5,19.504493713378906,19.226774215698242,19.706174850463867,200.0,1.0
baseline,insurance,Malawi,cost,0.19489488005638123,0.19489488005638123,0.19489488005638123,200.0,1.0
baseline,insurance,Malawi,cost_behav,0.9970937967300415,0.9907309412956238,1.0030875205993652,200.0,1.0
baseline,insurance,Malawi,cv_log,,,,200.0,0.0
baseline,insurance,Malawi,cv_pct,,,,200.0,0.0
baseline,insurance,Malawi,exp_income,56.787174224853516,56.58069610595703,57.012901306152344,200.0,1.0
baseline,insurance,Malawi,exp_median,42.47215270996094,42.22171401977539,42.761016845703125,200.0,1.0
baseline,insurance,Malawi,exp_shortfall,0.003626263001933694,0.0036080938298255205,0.003657541936263442,200.0,1.0
baseline,insurance,Malawi,logsum,-3.8292508125305176,-4.209871768951416,-3.477098226547241,200.0,1.0
baseline,insurance,Malawi,p_below_theta,0.061744438484311104,0.06152941659092903,0.062123335897922516,200.0,1.0
baseline,insurance,Malawi,payout,0.9744743704795837,0.9744743704795837,0.9744743704795837,200.0,1.0
baseline,insurance,Malawi,premium,1.1693693399429321,1.1693693399429321,1.1693693399429321,200.0,1.0
baseline,insurance,Malawi,switch_share,0.04942355863749981,0.04586540162563324,0.05304175242781639,200.0,1.0
baseline,insurance,Mali,ce_rho1.5,192.32633209228516,191.5693359375,193.4754180908203,200.0,1.0
baseline,insurance,Mali,ce_rho2.5,157.81105041503906,157.0738067626953,158.7925262451172,200.0,1.0
baseline,insurance,Mali,ce_rho3.5,131.7172088623047,130.84129333496094,132.5100555419922,200.0,1.0
