climate,policy,country,crop,delta_share_median,delta_lo,delta_hi,base_share_median
baseline,transfer,Tanzania,legumes,0.016287547070533037,0.015527069568634033,0.017023706575855613,0.09253345604520291
baseline,transfer,Tanzania,sorghum_millet,0.005638399161398411,0.005190328229218721,0.006213704124093056,0.025377202546223998
baseline,transfer,Tanzania,teff,0.0,0.0,0.0,0.0
baseline,transfer,Tanzania,other,-0.04705160576850176,-0.04860901925712824,-0.04577634762972593,0.37787464912980795
baseline,transfer,Tanzania,rice,-0.00021053478121757507,-0.0006133485585451126,0.0002377815544605255,0.055247485637664795
baseline,transfer,Tanzania,wheat_barley,0.0002560092252679169,0.00017392134759575129,0.0003633755259215832,0.0013386090286076069
baseline,transfer,Uganda,maize,0.005997350439429283,0.005851514637470245,0.006163794547319412,0.12411375343799591
baseline,transfer,Uganda,tree_crops,-0.04142040456645191,-0.0418928365688771,-0.040798029163852334,0.35854902560822666
baseline,transfer,Uganda,tubers,0.015043743536807597,0.01478945929557085,0.0153175531886518,0.18371026747627184
baseline,transfer,Uganda,legumes,0.022168740979395807,0.021736361552029848,0.022591332672163844,0.2239737471099943
baseline,transfer,Uganda,sorghum_millet,0.00657325703650713,0.006387418136000633,0.0067756567150354385,0.04888562299311161
baseline,transfer,Uganda,teff,0.0,0.0,0.0,0.0
baseline,transfer,Uganda,other,-0.007777572958730161,-0.007979017915204167,-0.007494434947147965,0.052016420755535364
baseline,transfer,Uganda,rice,-0.0006326853763312101,-0.0006813057698309422,-0.0005862112157046795,0.008711627568118274
baseline,transfer,Uganda,wheat_barley,0.0,0.0,0.0,0.0
ssp245,both,Ethiopia,maize,0.03817396052181721,0.03730292245745659,0.03922481834888458,0.1280706413090229
ssp245,both,Ethiopia,tree_crops,-0.08949499018490314,-0.0913472855463624,-0.08835574239492416,0.333287063986063
ssp245,both,Ethiopia,tubers,-0.022121543006505817,-0.022784910397604108,-0.021528286044485867,0.06516734918113798
ssp245,both,Ethiopia,legumes,0.02648713532835245,0.02574784867465496,0.027248126454651356,0.08825611649081111
ssp245,both,Ethiopia,sorghum_millet,0.035199521109461784,0.034080978482961655,0.03594496473670006,0.1144692674279213
ssp245,both,Ethiopia,teff,-0.015777507796883583,-0.016298657283186913,-0.015260633081197739,0.07900177966803312
ssp245,both,Ethiopia,other,0.007518496597185731,0.006997779943048954,0.007984134834259748,0.09550956659950316
ssp245,both,Ethiopia,rice,-0.0007486660324502736,-0.0008340006461367011,-0.0006482051685452461,0.0023708831577096134
ssp245,both,Ethiopia,wheat_barley,0.02092775609344244,0.02027701772749424,0.021591177210211754,0.09380923304706812
ssp245,both,Malawi,maize,-0.03572645038366318,-0.03842034935951233,-0.0325484424829483,0.6459575667977333
ssp245,both,Malawi,tree_crops,0.007717780768871307,0.0065435245633125305,0.008683718740940094,0.07890075817704201
ssp245,both,Malawi,tubers,-3.612670116126537e-05,-0.0002222888870164752,0.00018039974384009838,0.019391698064282537
ssp245,both,Malawi,legumes,0.03238233644515276,0.03026679903268814,0.03491441160440445,0.17109413258731365
ssp245,both,Malawi,sorghum_millet,0.011937426403164864,0.010228489991277456,0.013607470784336329,0.015398052288219333
ssp245,both,Malawi,teff,0.0,0.0,0.0,0.0
ssp245,both,Malawi,other,-0.015872658230364323,-0.01724219135940075,-0.014852030202746391,0.06759434193372726
ssp245,both,Malawi,rice,-0.0005117740947753191,-0.000662320526316762,-0.00034307147143408656,0.0016708573675714433
ssp245,both,Malawi,wheat_barley,0.0,0.0,0.0,0.0
ssp245,both,Mali,maize,-0.000831136479973793,-0.002752808853983879,0.0009836312383413315,0.15205582976341248
ssp245,both,Mali,tree_crops,-0.030488062417134643,-0.03268589172512293,-0.02889802842400968,0.18448114464990795
ssp245,both,Mali,tubers,-0.0010918808984570205,-0.0013177556684240699,-0.0007607518637087196,0.006133521150331944
ssp245,both,Mali,legumes,0.039524280931800604,0.03585716034285724,0.04320926661603153,0.050885338918305933
ssp245,both,Mali,sorghum_millet,0.06025732681155205,0.05737660080194473,0.06364106386899948,0.4340849369764328
ssp245,both,Mali,teff,0.0,0.0,0.0,0.0
ssp245,both,Mali,other,-0.01989950775168836,-0.020991668570786715,-0.018248985055834055,0.05913722142577171
ssp245,both,Mali,rice,-0.0474644978530705,-0.04921322222799063,-0.0457428265362978,0.11286686919629574
ssp245,both,Mali,wheat_barley,0.0,0.0,0.0,0.0
ssp245,both,Nigeria,maize,0.04496033303439617,0.04388118162751198,0.0461050420999527,0.16255632415413857
ssp245,both,Nigeria,tree_crops,-0.01090560742886737,-0.011372506152838469,-0.010395169607363641,0.04676481056958437
ssp245,both,Nigeria,tubers,-0.10043847002089024,-0.10171749629080296,-0.09833716601133347,0.3071940317749977
ssp245,both,Nigeria,legumes,0.012034851126372814,0.011398620903491974,0.012843899428844452,0.13231385126709938
ssp245,both,Nigeria,sorghum_millet,0.07203023135662079,0.07035158574581146,0.07394155859947205,0.2525235004723072
ssp245,both,Nigeria,teff,0.0,0.0,0.0,0.0
ssp245,both,Nigeria,other,-0.0020974043291062117,-0.0024932431988418102,-0.001638172660022974,0.05310905305668712
ssp245,both,Nigeria,rice,-0.015518348664045334,-0.016164795495569706,-0.014884022530168295,0.04558158293366432
ssp245,both,Nigeria,wheat_barley,7.535985787399113e-06,3.6404162528924644e-06,1.1981843272224069e-05,0.00016407448129029945
ssp245,both,Tanzania,maize,0.05055343359708786,0.04838847368955612,0.05235450714826584,0.29091310128569603
ssp245,both,Tanzania,tree_crops,-0.010852661042008549,-0.011489316588267684,-0.010274196858517826,0.053043418331071734
ssp245,both,Tanzania,tubers,-0.0048290747217834,-0.005313753616064787,-0.0043023983016610146,0.10385755798779428
ssp245,both,Tanzania,legumes,0.033956238301470876,0.0318035630043596,0.03545756288804114,0.09253345604520291
ssp245,both,Tanzania,sorghum_millet,0.013683876255527139,0.01245919894427061,0.015381974168121815,0.025377202546223998
ssp245,both,Tanzania,teff,0.0,0.0,0.0,0.0
ssp245,both,Tanzania,other,-0.06658177729696035,-0.06898072827607393,-0.06437050551176071,0.37787464912980795
ssp245,both,Tanzania,rice,-0.01611168822273612,-0.017772190272808075,-0.014585008844733238,0.055247485637664795
ssp245,both,Tanzania,wheat_barley,0.00019565637921914458,0.00012336293002590537,0.00026613520458340645,0.0013386090286076069
ssp245,both,Uganda,maize,0.0056741852313280106,0.005490507930517197,0.005836155265569687,0.12411375343799591
ssp245,both,Uganda,tree_crops,-0.06335528648924083,-0.06424568477086723,-0.06252210703678429,0.35854902560822666
ssp245,both,Uganda,tubers,0.02499966078903526,0.02448144694790244,0.025427048793062568,0.18371026747627184
ssp245,both,Uganda,legumes,0.020699373329989612,0.02034236048348248,0.02108479547314346,0.2239737471099943
